#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,MEAN GRADE,SUBJECT REQUIREMENTS,,,,
DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,,,,,,,,,
37,1450552,MITUNGUU TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
38,1465552,BONDO TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
39,1505552,MACHAKOS TECHNICAL INSTITUTE FOR THE BLIND,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
40,1510552,ALDAI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
41,1520552,KATINE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
42,1560552,MAWEGO TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
43,1565552,GODOMA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
44,1570552,TURKANA UNIVERSITY COLLEGE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
45,1575552,TSEIKURU TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
46,1610552,SIALA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK& COMMUNITY DEVELOPMENT,C-,,,,,
47,1615552,AHMED SHAHAME MWIDANI TECHNICAL TRAINING ,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
,,INSTITUTE,,,,,,,
48,1620552,WERU TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
49,1625552,MAASAI MARA TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
50,1645552,EKERUBO GIETAI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
51,1650552,ZIWA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
52,1675552,BURETI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
53,1705552,SOT TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
54,1720552,SOTIK TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
55,1730552,NAIVASHA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK& COMMUNITY DEVELOPMENT,C-,,,,,
56,1735552,MOIBEN TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
,,,,,,,,,
#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,MEAN GRADE,SUBJECT REQUIREMENTS,,,,
57,1925552,KONOIN TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
58,2045552,SIKRI TECHNICAL TRAINING INSTITUTE FOR THE BLIND AND ,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
,,DEAF,,,,,,,
59,2240552,KAPCHEROP TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK& COMMUNITY DEVELOPMENT,C-,,,,,
60,2560552,MASINGA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
61,2727552,TINDIRET TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
62,2775552,NUU TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
63,3705552,LAISAMIS TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
64,3725552,KIPSINENDE TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
65,3740552,BUNYALA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
66,3745552,EMSOS TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
67,3750552,GITWEBE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK& COMMUNITY DEVELOPMENT,C-,,,,,
68,3760552,KASARANI TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
69,3775552,LAIKIPIA EAST TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
70,3780552,LAIKIPIA NORTH TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
71,3815552,RUNYENJES TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
72,3820552,SABATIA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
73,3825552,THARAKA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
74,3835552,MUMIAS WEST TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
75,3930552,KIMININI TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
76,3936552,KIPTARAGON TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
77,3937552,CHEPSIREI TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
78,3945552,SAMBURU TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
79,3965552,GATUNDU SOUTH TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
80,3970552,KINANGO TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
,,,,,,,,,
DIPLOMA IN SALES AND MARKETING,,,,,,,,,
1,1044555,NAIROBI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
2,1048555,KIIRUA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN MARKETING,C-,,,,,
3,1051555,FRIENDS COLLEGE KAIMOSI,DIPLOMA IN SALES AND MARKETING,C-,,,,,
4,1063555,TECHNICAL UNIVERSITY OF MOMBASA,DIPLOMA IN SALES AND MARKETING,C-,,,,,
5,1064555,KABETE NATIONAL POLYTECHNIC,DIPLOMA IN SALES & MARKETING,C-,,,,,
6,1065555,KISII NATIONAL POLYTECHNIC,DIPLOMA IN SALES & MARKETING,C-,,,,,
7,1067555,COAST INSTITUTE OF TECHNOLOGY,DIPLOMA IN SALES AND MARKETING,C-,,,,,
8,1071555,RWIKA TECHNICAL INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
9,1072555,MATHENGE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN MARKETING,C-,,,,,
10,1074555,KISUMU POLYTECHNIC,DIPLOMA IN SALES AND MARKETING,C-,,,,,
11,1075555,KIAMBU INSTITUTE OF SCIENCE AND TECHNOLOGY,DIPLOMA IN SALES AND MARKETING,C-,,,,,
12,1076555,PC KINYANJUI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
13,1080555,CO-OPERATIVE UNIVERSITY OF KENYA,DIPLOMA IN MARKETING,C-,,,,,
14,1083555,MERU NATIONAL POLYTECHNIC,DIPLOMA IN MARKETING,C-,,,,,
15,1084555,SIGALAGALA NATIONAL POLYTECHNIC,DIPLOMA IN SALES AND MARKETING,C-,,,,,
16,1101555,KITALE NATIONAL POLYTECHNIC,DIPLOMA IN SALES & MARKETING,C-,,,,,
17,1104555,OL'LESSOS TECHNICAL TRAINING INSTITUTE,DIPLOMA IN MARKETING,C-,,,,,
18,1117555,PWANI UNIVERSITY,DIPLOMA IN MARKETING,C-,,,,,
19,1166555,SOUTH EASTERN KENYA UNIVERSITY,DIPLOMA IN SALES AND MARKETING,C-,,,,,
20,1170555,MACHAKOS UNIVERSITY,DIPLOMA IN SALE AND MARKETING,C-,,,,,
21,1216555,SANG'ALO INSTITUTE OF SCIENCE AND TECHNOLOGY,DIPLOMA IN SALES AND MARKETING,C-,,,,,
22,1228555,NYANDARUA INSTITUTE OF SCIENCE AND TECHNOLOGY,DIPLOMA IN SALES AND MARKETING,C-,,,,,
23,1237555,ELDORET POLYTECHNIC,DIPLOMA IN SALES AND MARKETING,C-,,,,,
24,1239555,NYERI NATIONAL POLYTECHNIC,DIPLOMA IN SALE AND MARKETING,C-,,,,,
25,1241555,RAMOGI INSTITUTE OF ADVANCE TECHNOLOGY,DIPLOMA IN SALES & MARKETING,C-,,,,,
26,1243555,WOTE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
27,1268555,KENYA TECHNICAL TRAINERS COLLEGE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
,,,,,,,,,
#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,MEAN GRADE,SUBJECT REQUIREMENTS,,,,
28,1269555,THIKA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
29,1405555,MUSAKASA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
30,1430555,SIAYA INSTITUTE OF TECHNOLOGY,DIPLOMA IN SALES AND MARKETING,C-,,,,,
31,1450555,MITUNGUU TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
32,1520555,KATINE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
33,1560555,MAWEGO TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES & MARKETING,C-,,,,,
34,1565555,GODOMA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
35,1625555,MAASAI MARA TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
36,1675555,BURETI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SALE AND MARKETING,C-,,,,,
37,1760555,BAHATI INSTITUTE OF BUSINESS AND ADMINISTRATION ,DIPLOMA IN SALES & MARKETING,C-,,,,,
,,STUDIES,,,,,,,
38,1950555,MATHIOYA TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
39,2560555,MASINGA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN MARKETING,C-,,,,,
40,3725555,KIPSINENDE TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN MARKETING,C-,,,,,
41,3820555,SABATIA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
42,3825555,THARAKA TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
43,3835555,MUMIAS WEST TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SALES & MARKETING,C-,,,,,
44,3950555,NYAKACH TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
45,3965555,GATUNDU SOUTH TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SALES AND MARKETING,C-,,,,,
,,,,,,,,,
DIPLOMA IN FOOD AND BEVERAGE MANAGEMENT,,,,,,,,,
1,1044556,NAIROBI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
2,1049556,SHAMBERERE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD & BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
3,1051556,FRIENDS COLLEGE KAIMOSI,DIPLOMA IN FOOD AND BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
4,1065556,KISII NATIONAL POLYTECHNIC,"DIPLOMA IN FOOD & BEVERAGE PROD,SALES & SERVICES MANAGEMENT",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
5,1067556,COAST INSTITUTE OF TECHNOLOGY,"DIPLOMA IN FOOD AND BEVERAGE PRODUCTION,SALES AND SERVICES",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
6,1071556,RWIKA TECHNICAL INSTITUTE,"DIPLOMA IN FOOD & BEVERAGES PRODUCTION,SALES &SERVICE MGT.",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
7,1072556,MATHENGE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
8,1074556,KISUMU POLYTECHNIC,DIPLOMA IN FOOD & BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
9,1076556,PC KINYANJUI TECHNICAL TRAINING INSTITUTE,"DIPLOMA IN FOOD AND BEVERAGE,PRODUCTION AND SERVICE",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
10,1081556,MASAI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
11,1083556,MERU NATIONAL POLYTECHNIC,DIPLOMA IN FOOD & BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
12,1085556,KISIWA TECHNICAL TRAINING INSTITUTE,"DIPLOMA IN FOOD & BEVERAGE PRODUCTION,SALES & SERVICE MANAGEMENT",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
13,1100556,RIFT VALLEY TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE PRODUCTION AND SERVICE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
14,1101556,KITALE NATIONAL POLYTECHNIC,DIPLOMA IN FOOD & BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
15,1104556,OL'LESSOS TECHNICAL TRAINING INSTITUTE,"DIPLOMA IN FOOD & BEVERAGE PRODUCTION,SALES & SERVICE MANAGEMENT",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
16,1106556,RAILWAY TRAINING INSTITUTE,DIPLOMA IN FOOD & BEVERAGE PRODUCTION & SALES SERVICES,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
17,1110556,BUMBE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
18,1113556,KENYA COAST POLYTECHNIC,DIPLOMA IN FOOD & BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
19,1170556,MACHAKOS UNIVERSITY,DIPLOMA IN FOOD & BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
20,1216556,SANG'ALO INSTITUTE OF SCIENCE AND TECHNOLOGY,DIPLOMA IN FOOD & BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
21,1227556,KEROKA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
